"ID","photo","pl_code","lumMean","lumSD","lwMean","lwSD","mwMean","mwSD","swMean","swSD","uvMean","uvSD","dblMean","dblSD","area","N","County","State.Province"
"608347","side","w",0.431,0.109,0.44,0.115,0.436,0.112,0.367,0.083,0.433,0.103,0.431,0.109,74721,1,"Potter","PA"
"608347","ventral","b",0.429666666666667,0.0426666666666667,0.439,0.0453333333333333,0.434666666666667,0.0456666666666667,0.365,0.0366666666666667,0.437,0.035,0.429666666666667,0.0426666666666667,34104.3333333333,3,"Potter","PA"
"608347","ventral","t",0.05,0.005,0.044,0.006,0.051,0.007,0.067,0.009,0.06,0.006,0.05,0.005,126733,1,"Potter","PA"
"608348","crown","c",0.058,0.019,0.047,0.016,0.062,0.021,0.073,0.022,0.113,0.032,0.058,0.019,112709,1,"Potter","PA"
"608348","side","o",0.087,0.01,0.088,0.011,0.089,0.011,0.091,0.009,0.1,0.009,0.087,0.01,12824,1,"Potter","PA"
"608348","side","w",0.366,0.068,0.368,0.068,0.37,0.072,0.321,0.057,0.401,0.083,0.366,0.068,29430,1,"Potter","PA"
"608348","ventral","b",0.423,0.0383333333333333,0.448666666666667,0.0413333333333333,0.433,0.042,0.327,0.036,0.343333333333333,0.0453333333333333,0.423,0.0383333333333333,32588,3,"Potter","PA"
"608348","ventral","t",0.049,0.006,0.043,0.007,0.05,0.008,0.065,0.009,0.056,0.007,0.049,0.006,76452,1,"Potter","PA"
"608350","crown","c",0.082,0.026,0.066,0.025,0.086,0.027,0.102,0.026,0.169,0.053,0.082,0.026,75622,1,"Potter","PA"
"608350","dorsal","d",0.0806666666666667,0.0186666666666667,0.072,0.0143333333333333,0.084,0.021,0.096,0.0266666666666667,0.121333333333333,0.016,0.0806666666666667,0.0186666666666667,34109.6666666667,3,"Potter","PA"
"608350","side","o",0.076,0.012,0.07,0.012,0.077,0.014,0.089,0.015,0.101,0.014,0.076,0.012,15907,1,"Potter","PA"
"608350","side","w",0.486,0.097,0.501,0.104,0.49,0.1,0.405,0.074,0.46,0.106,0.486,0.097,60439,1,"Potter","PA"
"608350","ventral","b",0.383333333333333,0.033,0.395666666666667,0.0353333333333333,0.389666666666667,0.0353333333333333,0.322,0.0323333333333333,0.361333333333333,0.0446666666666667,0.383333333333333,0.033,34257,3,"Potter","PA"
"608350","ventral","t",0.049,0.005,0.044,0.006,0.051,0.007,0.066,0.009,0.06,0.006,0.049,0.005,129242,1,"Potter","PA"
"612897","crown","c",0.07439932,0.027422544,0.06036331,0.022795862,0.078054415,0.028271812,0.094049568,0.035185818,0.151443745,0.051590141,0.07439932,0.027422544,103514,1,"Carter","TN"
"612898","crown","c",0.057063329,0.023279897,0.046302521,0.020848176,0.06066089,0.024775637,0.072392625,0.025571716,0.105479465,0.044681852,0.057063329,0.023279897,73526,1,"Carter","TN"
"612907","dorsal","d",0.0805390513333333,0.0176322503333333,0.071304566,0.0132866126666667,0.0829919866666667,0.0196399833333333,0.0978103103333333,0.022822437,0.120418045,0.016892858,0.0805390513333333,0.0176322503333333,36934,3,"Unicoi","TN"
"612907","dorsal","f",0.081717146,0.019063876,0.071799144,0.014817961,0.084170365,0.021021109,0.099935232,0.024524686,0.122744793,0.019659221,0.081717146,0.019063876,515134,1,"Unicoi","TN"
"612907","side","o",0.076103729,0.020894555,0.068319669,0.019442707,0.078263556,0.02208813,0.092504908,0.023806773,0.111419604,0.030543461,0.076103729,0.020894555,84970,1,"Unicoi","TN"
"612907","side","w",0.381443214,0.178566169,0.390420311,0.186716191,0.389456655,0.181340491,0.320762093,0.133635206,0.457102855,0.075887414,0.381443214,0.178566169,66104,1,"Unicoi","TN"
"612907","ventral","b",0.418184836,0.0379605053333333,0.424463841,0.0396952963333333,0.420656471,0.04033327,0.365223750666667,0.0349949783333333,0.449265557666667,0.0432819163333333,0.418184836,0.0379605053333333,35605.6666666667,3,"Unicoi","TN"
"612907","ventral","t",0.049912898,0.006282525,0.044017285,0.006904875,0.05129137,0.00745652,0.066941285,0.009264383,0.060880489,0.007690654,0.049912898,0.006282525,156864,1,"Unicoi","TN"
"612907","ventral","v",0.328386935,0.093686027,0.329282944,0.09830887,0.330598027,0.094577912,0.297817221,0.075762111,0.38755187,0.105811668,0.328386935,0.093686027,1402791,1,"Unicoi","TN"
"612911","crown","c",0.068495532,0.021897332,0.057583308,0.021658386,0.071590245,0.022653315,0.085551269,0.022644178,0.124824659,0.043464955,0.068495532,0.021897332,81193,1,"Carter","TN"
"612911","dorsal","Scale Bar:373.4608:10",0.202447405,0.032783781,0,0,0,0,0,0,0,0,0,0,371,1,"Carter","TN"
"612911","side","o",0.091203828,0.063791427,0.091111616,0.06877737,0.092286503,0.064542181,0.097318692,0.049787261,0.09811305,0.036525207,0.091203828,0.063791427,10177,1,"Carter","TN"
"612911","side","w",0.419589828,0.12878182,0.435810976,0.138481367,0.424095412,0.131719052,0.351654589,0.094715005,0.386866886,0.079778083,0.419589828,0.12878182,48111,1,"Carter","TN"
"612911","ventral","b",0.389262593666667,0.0400970216666667,0.397293064333333,0.0433231183333333,0.391814423666667,0.042244416,0.34081562,0.0345247906666667,0.408210309333333,0.0508753816666667,0.389262593666667,0.0400970216666667,33865.3333333333,3,"Carter","TN"
"612911","ventral","t",0.052049725,0.008224386,0.047302088,0.009810408,0.05323035,0.009085472,0.06816577,0.009668352,0.062771302,0.007728052,0.052049725,0.008224386,193628,1,"Carter","TN"
"612912","dorsal","d",0.0363721276666667,0.00952108433333333,0.0233983183333333,0.00950869233333333,0.0326125906666667,0.011249047,0.082621955,0.0116300653333333,0.0723540096666667,0.014186669,0.0363721276666667,0.00952108433333333,37003.6666666667,3,"Carter","TN"
"612912","side","o",0.063955168,0.018002633,0.051157232,0.015457627,0.06211706,0.019490929,0.100952338,0.020436744,0.113128373,0.03191214,0.063955168,0.018002633,87308,1,"Carter","TN"
"612912","side","w",0.498295572,0.122353013,0.517532077,0.129915157,0.513930916,0.130434929,0.385769507,0.078531858,0.42825592,0.177014476,0.498295572,0.122353013,56646,1,"Carter","TN"
"612912","ventral","b",0.391950656333333,0.0561899676666667,0.399054928666667,0.0594486496666667,0.395614638,0.058301552,0.340218557333333,0.044785552,0.409660749666667,0.0550858916666667,0.391950656333333,0.0561899676666667,33924.6666666667,3,"Carter","TN"
"612912","ventral","t",0.05611923,0.010587216,0.05162805,0.013542725,0.057559146,0.011373529,0.070086723,0.009545332,0.064146832,0.008633404,0.05611923,0.010587216,214487,1,"Carter","TN"
"612914","crown","c",0.081825516,0.034266922,0.065394396,0.029278391,0.086692288,0.037251378,0.100811318,0.037259116,0.168594253,0.051708264,0.081825516,0.034266922,78743,1,"Carter","TN"
"612914","dorsal","d",0.0537810333333333,0.007340552,0.0484666303333333,0.00640944266666667,0.054830321,0.00818820633333333,0.0715513833333333,0.010135481,0.0717372173333333,0.009375003,0.0537810333333333,0.007340552,34721.3333333333,3,"Carter","TN"
"612914","side","o",0.066196345,0.018325141,0.062907014,0.020551184,0.067202679,0.018892489,0.079948796,0.015009758,0.08369876,0.012519391,0.066196345,0.018325141,56848,1,"Carter","TN"
"612914","side","w",0.344051502,0.095425415,0.355304224,0.102754974,0.347362425,0.097906896,0.298599863,0.069759671,0.3335214,0.070265006,0.344051502,0.095425415,76831,1,"Carter","TN"
"612914","ventral","b",0.404969289333333,0.0377651046666667,0.420588764666667,0.0390935113333333,0.407073888333333,0.0392954896666667,0.344764882333333,0.038162907,0.386621930333333,0.0569800626666667,0.404969289333333,0.0377651046666667,33132,3,"Carter","TN"
"612914","ventral","t",0.049915003,0.005591444,0.044642888,0.006530399,0.051013784,0.00658281,0.067220781,0.008295058,0.062009945,0.008708099,0.049915003,0.005591444,234394,1,"Carter","TN"
"612915","crown","c",0.064874383,0.019213682,0.055433495,0.019930074,0.068523583,0.019734551,0.077520466,0.018282263,0.106846602,0.034998986,0.064874383,0.019213682,115616,1,"Carter","TN"
"612918","dorsal","d",0.480026275666667,0.094039749,0.432488853666667,0.078858182,0.445837929,0.0975220386666667,0.625324521,0.132787248333333,0.127563791666667,0.0188345013333333,0.480026275666667,0.094039749,35665.3333333333,3,"Unicoi","TN"
"612918","dorsal","f",0.48624383,0.101911739,0.440156472,0.096145996,0.451561221,0.104427201,0.630215139,0.133621487,0.127898879,0.020097329,0.48624383,0.101911739,383044,1,"Unicoi","TN"
"612918","side","o",0.077229128,0.01872654,0.069957548,0.014863432,0.078123953,0.020529102,0.097844435,0.026470933,0.114430675,0.029519238,0.077229128,0.01872654,33416,1,"Unicoi","TN"
"612918","side","w",0.372254532,0.124837559,0.376281874,0.120636587,0.380328446,0.134072251,0.31610548,0.092469565,0.351064644,0.092818796,0.372254532,0.124837559,47631,1,"Unicoi","TN"
"612918","ventral","b",0.358807203666667,0.042003548,0.367612220666667,0.045615986,0.35981001,0.044559283,0.316065033666667,0.0363522266666667,0.385136152333333,0.040958831,0.358807203666667,0.042003548,32913.3333333333,3,"Unicoi","TN"
"612918","ventral","t",0.051313993,0.005952731,0.04647037,0.006930612,0.05204954,0.00721237,0.070084319,0.009278968,0.061990897,0.006890406,0.051313993,0.005952731,151378,1,"Unicoi","TN"
"612918","ventral","v",0.295316715,0.083227059,0.299801582,0.089426663,0.296668897,0.084392268,0.268012728,0.064745542,0.325057092,0.082472018,0.295316715,0.083227059,936768,1,"Unicoi","TN"
"612928","dorsal","d",0.0620656753333333,0.00998181533333333,0.057066267,0.009064186,0.0632489016666667,0.0109977233333333,0.0793395093333333,0.013260928,0.0858171663333333,0.015266819,0.0620656753333333,0.00998181533333333,35848,3,"Unicoi","TN"
"612928","dorsal","f",0.062542823,0.011593461,0.057194464,0.010527664,0.06369009,0.012502534,0.080461763,0.014624662,0.087148884,0.018196522,0.062542823,0.011593461,407002,1,"Unicoi","TN"
"612928","side","o",0.072480394,0.01300234,0.066772599,0.010793091,0.073665562,0.013793562,0.089974431,0.018197316,0.104348552,0.02655709,0.072480394,0.01300234,36938,1,"Unicoi","TN"
"612928","side","w",0.385995077,0.11067423,0.392422822,0.115361646,0.39035108,0.112509104,0.334646056,0.085802567,0.390259734,0.085381674,0.385995077,0.11067423,48468,1,"Unicoi","TN"
"612928","ventral","b",0.355774744,0.0373724766666667,0.361276763,0.0386903636666667,0.358451455,0.0393892213333333,0.315856427,0.0345611046666667,0.359569042333333,0.0427470583333333,0.355774744,0.0373724766666667,35100.3333333333,3,"Unicoi","TN"
"612928","ventral","t",0.051333764,0.006160925,0.046694286,0.006809495,0.052169536,0.007296115,0.069486217,0.008976394,0.064644277,0.007813905,0.051333764,0.006160925,311199,1,"Unicoi","TN"
"612928","ventral","v",0.31826793,0.076277539,0.320831815,0.081744275,0.320452597,0.07742967,0.288766606,0.059495441,0.340270599,0.073420869,0.31826793,0.076277539,775738,1,"Unicoi","TN"
"612930","dorsal","d",0.0601104256666667,0.0119252883333333,0.0547112456666667,0.0111032673333333,0.0609182536666667,0.0130621606666667,0.078390746,0.013311586,0.0842080496666667,0.014912595,0.0601104256666667,0.0119252883333333,34785.6666666667,3,"Unicoi","TN"
"612930","dorsal","f",0.06319875,0.013896993,0.057502738,0.013033821,0.064042924,0.015123699,0.081607179,0.015195746,0.089272745,0.017504555,0.06319875,0.013896993,233965,1,"Unicoi","TN"
"612930","side","o",0.081711492,0.013545977,0.074102301,0.011450152,0.082677554,0.013908735,0.101526303,0.018035075,0.12173893,0.023811844,0.081711492,0.013545977,70051,1,"Unicoi","TN"
"612930","side","w",0.389753641,0.120488528,0.402012515,0.128303519,0.389649855,0.121157156,0.343748384,0.092724349,0.343917189,0.125746402,0.389753641,0.120488528,34828,1,"Unicoi","TN"
"612930","ventral","b",0.373826195333333,0.0480599123333333,0.390455555666667,0.0525761726666667,0.374919106333333,0.0496352716666667,0.319838316,0.0420504983333333,0.347263316333333,0.0499037476666667,0.373826195333333,0.0480599123333333,34995,3,"Unicoi","TN"
"612930","ventral","t",0.047966753,0.005608355,0.041831266,0.006193306,0.04890263,0.006854831,0.067042782,0.009199012,0.058284477,0.006832652,0.047966753,0.005608355,150930,1,"Unicoi","TN"
"612930","ventral","v",0.314850668,0.102408809,0.323067432,0.112213157,0.314677191,0.102595463,0.284438736,0.078631786,0.321529997,0.084073162,0.314850668,0.102408809,788140,1,"Unicoi","TN"
"612931","dorsal","d",0.074414778,0.0109140743333333,0.0684699443333333,0.009590404,0.0761918373333333,0.0117173666666667,0.0890982606666667,0.013978613,0.105351381333333,0.0110193653333333,0.074414778,0.0109140743333333,34165.6666666667,3,"Unicoi","TN"
"612931","dorsal","f",0.072690742,0.01134412,0.066537937,0.009860876,0.074454561,0.012141279,0.087923422,0.014556569,0.101724472,0.012399053,0.072690742,0.01134412,362438,1,"Unicoi","TN"
"612931","side","o",0.074379583,0.015618182,0.068611787,0.014359402,0.075989489,0.016519262,0.089348996,0.019059056,0.105553828,0.027893191,0.074379583,0.015618182,61134,1,"Unicoi","TN"
"612931","side","w",0.313856801,0.074564323,0.314267582,0.072302863,0.315313646,0.075039241,0.28992646,0.070448891,0.401431492,0.091194503,0.313856801,0.074564323,31940,1,"Unicoi","TN"
"612931","ventral","b",0.313541610333333,0.0382547083333333,0.322551699,0.041449357,0.315777472,0.0399230543333333,0.277951761333333,0.032896155,0.314521954333333,0.0317916376666667,0.313541610333333,0.0382547083333333,35480.3333333333,3,"Unicoi","TN"
"612931","ventral","t",0.058043059,0.009137775,0.054241472,0.010736294,0.059094884,0.010103605,0.072250387,0.010440968,0.069751966,0.009264391,0.058043059,0.009137775,278575,1,"Unicoi","TN"
"612931","ventral","v",0.297543815,0.071961251,0.304798142,0.076244618,0.299217644,0.072556373,0.26733536,0.05928002,0.317578599,0.076557697,0.297543815,0.071961251,873758,1,"Unicoi","TN"
"612932","dorsal","d",0.072462249,0.0112745206666667,0.065085166,0.012739381,0.0739264313333333,0.0118929436666667,0.0907006783333333,0.011461154,0.104457896666667,0.0234486873333333,0.072462249,0.0112745206666667,36386.6666666667,3,"Unicoi","TN"
"612932","dorsal","f",0.073607356,0.011962918,0.066187403,0.013219792,0.075108321,0.012585004,0.091660544,0.012105502,0.106813279,0.024438535,0.073607356,0.011962918,482240,1,"Unicoi","TN"
"612932","side","o",0.085012218,0.023916458,0.074982395,0.019294835,0.086621324,0.026615784,0.105600529,0.02837377,0.130215815,0.037054706,0.085012218,0.023916458,76598,1,"Unicoi","TN"
"612932","side","w",0.49396793,0.117504067,0.513902833,0.124965608,0.498652943,0.120336566,0.408487387,0.086196072,0.445243276,0.092144578,0.49396793,0.117504067,47626,1,"Unicoi","TN"
"612932","ventral","b",0.398215456666667,0.0502908036666667,0.408235883666667,0.0561274706666667,0.400216797333333,0.0525145223333333,0.346809496333333,0.039667804,0.429448060666667,0.0459645563333333,0.398215456666667,0.0502908036666667,33926.3333333333,3,"Unicoi","TN"
"612932","ventral","t",0.050756222,0.010214304,0.045197054,0.01122166,0.051925281,0.011088088,0.067865366,0.012211711,0.061796391,0.011359755,0.050756222,0.010214304,189429,1,"Unicoi","TN"
"612932","ventral","v",0.351064114,0.0789041,0.356930182,0.085377554,0.352711993,0.079873562,0.313552933,0.061479434,0.395043643,0.082726039,0.351064114,0.0789041,880897,1,"Unicoi","TN"
"612933","dorsal","d",0.0535544003333333,0.00704010366666667,0.0479670946666667,0.00666678633333333,0.0545327473333333,0.007778557,0.0714646803333333,0.008619114,0.0718197126666667,0.00876604933333333,0.0535544003333333,0.00704010366666667,34723,3,"Unicoi","TN"
"612933","dorsal","f",0.055686052,0.009030165,0.049751274,0.008296469,0.056689023,0.009821774,0.07391124,0.01073849,0.07587549,0.011106237,0.055686052,0.009030165,441731,1,"Unicoi","TN"
"612933","side","o",0.072237444,0.015544541,0.063345229,0.011974485,0.073670829,0.016521726,0.092786286,0.022855097,0.109291681,0.028314002,0.072237444,0.015544541,10713,1,"Unicoi","TN"
"612933","side","w",0.457539539,0.138348807,0.469171649,0.147657965,0.458662018,0.140030421,0.39610853,0.105896576,0.460299184,0.119311856,0.457539539,0.138348807,78097,1,"Unicoi","TN"
"612933","ventral","b",0.397507729333333,0.038507947,0.407568883,0.0406676036666667,0.396670491333333,0.0411229003333333,0.353125326333333,0.0368854493333333,0.424038224333333,0.0475231483333333,0.397507729333333,0.038507947,34976,3,"Unicoi","TN"
"612933","ventral","t",0.053507539,0.008329086,0.047646766,0.00992873,0.054445439,0.00954171,0.071535511,0.011042178,0.06617945,0.009759723,0.053507539,0.008329086,233631,1,"Unicoi","TN"
"612933","ventral","v",0.338783902,0.093601771,0.344503333,0.1016451,0.338489339,0.094267378,0.308876059,0.072592629,0.37076935,0.084935638,0.338783902,0.093601771,1032478,1,"Unicoi","TN"
"612941","dorsal","d",0.0628515826666667,0.013889632,0.0558025503333333,0.0142052473333333,0.064092837,0.0146939443333333,0.081873186,0.01421652,0.091707472,0.0227990166666667,0.0628515826666667,0.013889632,33673.6666666667,3,"Unicoi","TN"
"612941","dorsal","f",0.066062512,0.01482365,0.058618736,0.01528896,0.067308339,0.015666518,0.085468675,0.015091214,0.09792496,0.024879112,0.066062512,0.01482365,340829,1,"Unicoi","TN"
"612941","side","o",0.081207583,0.043298063,0.073098948,0.044042663,0.081921082,0.043029309,0.101678657,0.039528755,0.116325027,0.036339123,0.081207583,0.043298063,58932,1,"Unicoi","TN"
"612941","side","w",0.493537139,0.113483023,0.501957734,0.11940166,0.490139674,0.113747446,0.434786479,0.089452714,0.5389458,0.149842979,0.493537139,0.113483023,65113,1,"Unicoi","TN"
"612941","ventral","b",0.379533713,0.072871433,0.386383908666667,0.075905838,0.378194778333333,0.072486303,0.342670667,0.067994231,0.428165536333333,0.075042522,0.379533713,0.072871433,36079.3333333333,3,"Unicoi","TN"
"612941","ventral","t",0.051250917,0.00657233,0.045769827,0.007391915,0.052420463,0.007841174,0.068177027,0.009802761,0.064015076,0.009437102,0.051250917,0.00657233,239621,1,"Unicoi","TN"
"612941","ventral","v",0.279670891,0.122852187,0.281159329,0.128966087,0.279789956,0.122356045,0.261479952,0.101649138,0.330214066,0.127981867,0.279670891,0.122852187,1126976,1,"Unicoi","TN"
"614261","dorsal","d",0.0542302163333333,0.012940385,0.0509569086666667,0.0105548853333333,0.0555492453333333,0.013457409,0.0679298063333333,0.0182499056666667,0.0791499123333333,0.013239231,0.0542302163333333,0.012940385,35976,3,"York","NB"
"614261","dorsal","f",0.054865993,0.013368452,0.051403116,0.010847863,0.056194783,0.01390787,0.068813847,0.018864293,0.080359762,0.014080562,0.054865993,0.013368452,260853,1,"York","NB"
"614261","side","w",0.413835739,0.148100671,0.428775963,0.159565628,0.410387822,0.147244681,0.363773745,0.116911008,0.360831627,0.092226711,0.413835739,0.148100671,104601,1,"York","NB"
"614261","ventral","b",0.347211915333333,0.072981136,0.354981790333333,0.0771377733333333,0.341946002,0.0726042786666667,0.320374690333333,0.0628298656666667,0.351030622333333,0.0586266513333333,0.347211915333333,0.072981136,33675.3333333333,3,"York","NB"
"614261","ventral","t",0.036154091,0.007236419,0.035305181,0.007605114,0.037505878,0.008075592,0.046377213,0.009685381,0.047273784,0.009400277,0.036154091,0.007236419,139245,1,"York","NB"
"614261","ventral","v",0.32010093,0.109278011,0.326898378,0.114026222,0.315281117,0.10693068,0.297765657,0.096696813,0.322488396,0.106466851,0.32010093,0.109278011,1311355,1,"York","NB"
"614262","dorsal","d",0.0729220036666667,0.028701769,0.0652931626666667,0.0252684463333333,0.07418135,0.031799707,0.0926763346666667,0.033411171,0.110703620666667,0.0229596666666667,0.0729220036666667,0.028701769,35492.3333333333,3,"York","NB"
"614262","dorsal","f",0.072768237,0.027262135,0.066046442,0.024382903,0.074025025,0.030014727,0.091035358,0.030960043,0.10960444,0.025302116,0.072768237,0.027262135,508519,1,"York","NB"
"614262","side","o",0.060583374,0.017091161,0.059151177,0.015155176,0.061572643,0.018438223,0.072098769,0.021348668,0.086450309,0.025248198,0.060583374,0.017091161,52408,1,"York","NB"
"614262","side","w",0.413397983,0.116714045,0.42351896,0.121305898,0.407548345,0.116290545,0.375352889,0.099845274,0.37379637,0.10492314,0.413397983,0.116714045,40502,1,"York","NB"
"614262","ventral","b",0.435554143333333,0.0690430003333333,0.446620632666667,0.0750168836666667,0.425437723,0.069192384,0.395146466333333,0.0579092563333333,0.460263708666667,0.050095103,0.435554143333333,0.0690430003333333,34487,3,"York","NB"
"614262","ventral","t",0.035625947,0.006725908,0.035684742,0.007915398,0.036927885,0.00755719,0.044518495,0.008685389,0.044316014,0.007772645,0.035625947,0.006725908,139083,1,"York","NB"
"614262","ventral","v",0.34741457,0.137592451,0.353028884,0.145287027,0.340639015,0.134494075,0.324052462,0.114929563,0.372696909,0.123933251,0.34741457,0.137592451,940986,1,"York","NB"
"614268","side","o",0.075995555,0.020461692,0.072744067,0.020061667,0.07719203,0.021194666,0.088711228,0.02363754,0.10298625,0.028883748,0.075995555,0.020461692,41438,1,"York","NB"
"614268","side","w",0.34221936,0.131504785,0.348648332,0.139037698,0.336630289,0.127789333,0.321567944,0.11380037,0.372186539,0.076329945,0.34221936,0.131504785,41612,1,"York","NB"
"614268","ventral","b",0.387035575666667,0.0732331646666667,0.399309726666667,0.079517088,0.380476443333333,0.0726567856666667,0.350726041,0.062591564,0.370989904666667,0.0716194526666667,0.387035575666667,0.0732331646666667,32950.3333333333,3,"York","NB"
"614268","ventral","t",0.041295387,0.008402608,0.042444919,0.010133469,0.042295377,0.009174045,0.049239537,0.010414466,0.048976105,0.01022593,0.041295387,0.008402608,170045,1,"York","NB"
"614268","ventral","v",0.34090775,0.131246547,0.350309118,0.141944681,0.334799796,0.128596995,0.315505141,0.107428665,0.336485198,0.105151738,0.34090775,0.131246547,1269276,1,"York","NB"
"614269","dorsal","d",0.0711719113333333,0.017037178,0.0660518966666667,0.0193703446666667,0.0724847976666667,0.017930623,0.087235061,0.0142691926666667,0.096560809,0.0243808083333333,0.0711719113333333,0.017037178,34042.3333333333,3,"York","NB"
"614269","dorsal","f",0.071832587,0.018135629,0.067048989,0.020146034,0.073185132,0.018938508,0.087130005,0.015803095,0.097331028,0.026128785,0.071832587,0.018135629,343405,1,"York","NB"
